model,model_name,index,method,dimension,M,efConstruction,efSearch,nlist,nprobe,pq_m,pq_bits,build_sec,train_sec,add_sec,precision@1,precision@3,precision@5,precision@10,precision@20,precision@50,recall@1,recall@3,recall@5,recall@10,recall@20,recall@50,f1@1,f1@3,f1@5,f1@10,f1@20,f1@50,hit@1,hit@3,hit@5,hit@10,hit@20,hit@50,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,ndcg@50,mrr,map,ann_recall@1,ann_recall@3,ann_recall@5,ann_recall@10,ann_recall@20,ann_recall@50,search_mean_ms,search_p50_ms,search_p95_ms,search_p99_ms
bge,BAAI/bge-base-en-v1.5,IVFPQ_nlist64_nprobe64,IVF-PQ,768,,,,64.0,64.0,48.0,8.0,12.413034198999867,9.496211351000056,2.9168228479998106,0.038931297709923665,0.02900763358778626,0.023206106870229008,0.015419847328244278,0.010229007633587788,0.005969465648854962,0.021656064461407974,0.0489122412786535,0.06683658613337788,0.08467691692218196,0.10646591672644892,0.14562567130605084,0.025533101334628047,0.03292997079256621,0.03133191572684164,0.024220242068604084,0.017769615092074163,0.011163088573453113,0.038931297709923665,0.08091603053435115,0.10763358778625955,0.13282442748091602,0.16793893129770993,0.22824427480916032,0.038931297709923665,0.045138251676215525,0.05169817838801807,0.05782496789688187,0.06465924389288717,0.07447609953996202,0.07016407499789747,0.04445619494064734,0.33587786259541985,0.389058524173028,0.41603053435114506,0.45,0.4700381679389313,0.4926412213740458,3.3801399580145954,3.335145500159342,3.7469794499656928,4.215940599665374
e5,intfloat/e5-base-v2,HNSW_M16_efSearch256,HNSW,768,16.0,200.0,256.0,,,,,36.24942404300009,,,0.07099236641221374,0.04503816793893129,0.035877862595419856,0.02396946564885496,0.01534351145038168,0.008351145038167938,0.04483490851811462,0.08057531664065117,0.10586551414458914,0.13547550445114434,0.164984750285943,0.21435802333914653,0.05141315003910423,0.053310476631087324,0.04974713581583811,0.038374919031374806,0.02683097560192053,0.01567668712646402,0.07099236641221374,0.12137404580152672,0.15725190839694655,0.1969465648854962,0.2381679389312977,0.3068702290076336,0.07099236641221374,0.07663832711203568,0.08649241316494155,0.09698674572857834,0.10600198687898071,0.11801457099090848,0.1106649897520635,0.07813732200186342,0.9923664122137404,0.9910941475826973,0.9879389312977099,0.9823664122137405,0.9762213740458014,0.9593740458015267,1.5236989084026578,1.5294055000367734,1.7954538999219947,2.010929860048236
bge,BAAI/bge-base-en-v1.5,IVFPQ_nlist512_nprobe32,IVF-PQ,768,,,,512.0,32.0,48.0,8.0,15.581190139000228,12.47655480000003,3.104635339000197,0.042748091603053436,0.028498727735368955,0.02137404580152672,0.014809160305343511,0.009694656488549619,0.005770992366412214,0.026365261117169515,0.049315400460438634,0.06067490609475343,0.08188298556291607,0.10183510511427224,0.14153776387844874,0.030078115268954958,0.0328779786795054,0.029047431139932266,0.023340151848544308,0.01686465531133353,0.010774530805721895,0.042748091603053436,0.0816793893129771,0.10152671755725191,0.13282442748091602,0.16564885496183207,0.22290076335877862,0.042748091603053436,0.04744460449637236,0.051317866401051154,0.058534682825358425,0.06471467143090316,0.07441624821885734,0.0721149780781083,0.04616546784885222,0.3709923664122137,0.4366412213740458,0.4529770992366413,0.4693129770992366,0.47874045801526727,0.48604580152671756,0.4397887496226675,0.4201814999760245,0.6188105502815231,0.7114092302072096
e5,intfloat/e5-base-v2,IVF_nlist128_nprobe8,IVF-Flat,768,,,,128.0,8.0,,,0.6900267430000895,0.5220688440001595,0.16795789899992997,0.04885496183206107,0.03180661577608142,0.024427480916030534,0.0150381679389313,0.009122137404580153,0.00485496183206107,0.030029989094874587,0.056194788347909135,0.06914856273298123,0.08016057421831814,0.09656244207056769,0.12305492965084151,0.0349863961314343,0.03740782965973806,0.033372162188956084,0.02366517229813647,0.01594884698739094,0.009116099100400345,0.04885496183206107,0.08931297709923663,0.11145038167938931,0.13053435114503817,0.15267175572519084,0.1946564885496183,0.04885496183206107,0.05319488539859653,0.058346974477366816,0.06236397826985751,0.06719626146602914,0.07371175675981556,0.07663237943073148,0.04987421435018341,0.6396946564885496,0.6292620865139948,0.6181679389312976,0.6132824427480916,0.6025954198473283,0.5844885496183205,1.0996905786224898,1.0645594999232344,1.5206428000738013,1.7691352999872842
bge,BAAI/bge-base-en-v1.5,IVFPQ_nlist512_nprobe16,IVF-PQ,768,,,,512.0,16.0,48.0,8.0,15.581190139000228,12.47655480000003,3.104635339000197,0.04198473282442748,0.027226463104325697,0.02015267175572519,0.014045801526717559,0.009274809160305344,0.005480916030534351,0.025983581727856538,0.047297952259784316,0.05732158003150369,0.07763907425793605,0.09740035411463577,0.13469843272614052,0.029569209416537658,0.03142759700011608,0.027369253507556163,0.022120590463962718,0.0161182148702366,0.01022610233715068,0.04198473282442748,0.07786259541984733,0.09541984732824428,0.1251908396946565,0.15648854961832062,0.21221374045801528,0.04198473282442748,0.0458946648367088,0.04922593370485548,0.0562101380366993,0.06226765027166311,0.07129590917165474,0.06948980856177317,0.044654839529255516,0.36793893129770994,0.4312977099236641,0.44549618320610695,0.46160305343511443,0.47095419847328246,0.4739389312977099,0.29707990839833237,0.2899800001614494,0.3618249997543898,0.4645802497861956
e5,intfloat/e5-base-v2,IVFPQ_nlist128_nprobe32,IVF-PQ,768,,,,128.0,32.0,48.0,8.0,12.511749128000247,9.557819145999929,2.953929982000318,0.026717557251908396,0.017048346055979643,0.013435114503816795,0.00984732824427481,0.00683206106870229,0.0039847328244274815,0.01688113413304253,0.03260723373318793,0.040049981824790984,0.054355688840421655,0.07503180661577608,0.10335922185118222,0.01934602293380919,0.020986363085599726,0.018841472352922738,0.015739897618817618,0.012077816728169268,0.007498596395226249,0.026717557251908396,0.04885496183206107,0.061068702290076333,0.08549618320610687,0.11755725190839694,0.16106870229007633,0.026717557251908396,0.029828138567339384,0.03299836785028342,0.038321132088687086,0.044462154560656546,0.05128498155182584,0.04562651250828106,0.03116902343908737,0.1435114503816794,0.18956743002544527,0.20396946564885496,0.23061068702290077,0.2622519083969465,0.3024427480916031,1.0557197755702832,1.0415995002404088,1.2649441999883493,1.4472044699232356
e5,intfloat/e5-base-v2,IVFPQ_nlist64_nprobe64,IVF-PQ,768,,,,64.0,64.0,48.0,8.0,12.090454093999597,9.114651146999677,2.97580294699992,0.02900763358778626,0.018066157760814248,0.015114503816793896,0.010381679389312979,0.007328244274809162,0.0043664122137404586,0.02180873621713316,0.036666969586816915,0.047185265963891915,0.061960686120585425,0.08607100963930589,0.12036436820410584,0.02354295407730522,0.02263788374475397,0.021401846669022246,0.016833550449079266,0.013050281127143477,0.008265376026676385,0.02900763358778626,0.05343511450381679,0.0732824427480916,0.09465648854961832,0.1282442748091603,0.1763358778625954,0.02900763358778626,0.03404064482721874,0.03867155098932338,0.04394120542054325,0.050844022553584264,0.058975454249216776,0.050803219628084456,0.03652851375864321,0.150381679389313,0.19770992366412213,0.22076335877862593,0.24473282442748093,0.27164122137404584,0.30781679389312977,3.424338429008909,3.39802000007694,3.7811764499338096,4.035557410115871
e5,intfloat/e5-base-v2,IVFPQ_nlist512_nprobe4,IVF-PQ,768,,,,512.0,4.0,48.0,8.0,15.100016140999742,11.954737483999907,3.145278656999835,0.020610687022900764,0.013994910941475825,0.011297709923664122,0.007328244274809162,0.005114503816793893,0.003083969465648855,0.01270901490367139,0.023968556888404217,0.032490796383520114,0.04142209409344377,0.05500745699178377,0.08077111869055997,0.014326636044193295,0.01608522520736261,0.015405480863496133,0.011697064239873092,0.008978614691044752,0.005806810601398136,0.020610687022900764,0.04198473282442748,0.055725190839694655,0.06870229007633588,0.09236641221374046,0.1267175572519084,0.020610687022900764,0.02282834147652646,0.02606551809995833,0.029147351512268275,0.03321167382920605,0.039340163501780566,0.03687420755564629,0.022938192352111333,0.14274809160305343,0.17913486005089058,0.196793893129771,0.219618320610687,0.23675572519083968,0.2618778625954199,0.21931640991544749,0.21250849999887578,0.2645565500415614,0.3738893201398243
bge,BAAI/bge-base-en-v1.5,IVFPQ_nlist64_nprobe16,IVF-PQ,768,,,,64.0,16.0,48.0,8.0,12.413034198999867,9.496211351000056,2.9168228479998106,0.038931297709923665,0.028498727735368955,0.02305343511450382,0.015190839694656488,0.0100381679389313,0.005816793893129771,0.021656064461407974,0.04814888250002754,0.06632768028096057,0.08353187875424302,0.10474835947454053,0.14150898646417515,0.025533101334628047,0.03231928376966545,0.03108655040514044,0.023838562679291107,0.017428416850112562,0.010872000512648888,0.038931297709923665,0.07938931297709924,0.10610687022900764,0.13129770992366413,0.16564885496183207,0.22366412213740458,0.038931297709923665,0.04471710309239036,0.05141561132521379,0.05728769432354962,0.06392360027771472,0.07317638368294098,0.06964798864597915,0.04402143801991771,0.33587786259541985,0.38625954198473283,0.4131297709923665,0.4455725190839695,0.46507633587786257,0.48538931297709925,1.018844825955772,1.0127779999038466,1.2837653000815403,1.4271138303047344
bge,BAAI/bge-base-en-v1.5,IVF_nlist128_nprobe64,IVF-Flat,768,,,,128.0,64.0,,,0.6999369049999586,0.500947731999986,0.19898917299997265,0.07099236641221374,0.049109414758269715,0.03572519083969466,0.024427480916030534,0.01587786259541985,0.008519083969465649,0.04265062259000292,0.08389183790564572,0.09783622262919758,0.12944864752406524,0.1642720231455998,0.2133273475921456,0.049008201298277626,0.056481090223557066,0.047741731525970416,0.038118878381647965,0.027480910047301497,0.015952903380261105,0.07099236641221374,0.13129770992366413,0.15419847328244274,0.19770992366412213,0.24580152671755726,0.31297709923664124,0.07099236641221374,0.07982272561213391,0.08416713605397086,0.09504705698481973,0.10521488233036011,0.1169612609587314,0.11356071220221615,0.07616451907463309,0.9908396946564886,0.9877862595419847,0.9871755725190842,0.9866412213740458,0.9839312977099235,0.9777099236641222,10.519922181678867,10.470873000031133,11.965507849947699,12.485893329997001
bge,BAAI/bge-base-en-v1.5,HNSW_M32_efSearch64,HNSW,768,32.0,200.0,64.0,,,,,39.20316088300001,,,0.07022900763358779,0.04834605597964376,0.03557251908396946,0.023893129770992366,0.015610687022900763,0.008442748091603053,0.042332556432242104,0.08208340460866281,0.09898126079713651,0.1286504529281607,0.1632448209161075,0.21205018013476282,0.04873920820485706,0.05550386981885576,0.047922625072378114,0.03746474471697381,0.027077606286867142,0.0157705474803912,0.07022900763358779,0.1297709923664122,0.15572519083969466,0.19541984732824427,0.24122137404580152,0.3053435114503817,0.07022900763358779,0.07857056619752076,0.08409049731892818,0.0942369326347619,0.10442585569864092,0.11622636332475206,0.11252271145733347,0.07572315543934544,0.9770992366412213,0.9735368956743004,0.9734351145038168,0.9650381679389314,0.9494656488549618,0.9108549618320613,0.531708311445496,0.5331835000106366,0.7009652000192546,0.7746186200279231
e5,intfloat/e5-base-v2,IVFPQ_nlist64_nprobe8,IVF-PQ,768,,,,64.0,8.0,48.0,8.0,12.090454093999597,9.114651146999677,2.97580294699992,0.026717557251908396,0.01653944020356234,0.014045801526717557,0.009312977099236642,0.006526717557251909,0.0037099236641221374,0.02070610687022901,0.03410123591421302,0.043983399975766384,0.05500563947088229,0.07462486884202005,0.10172266215781965,0.022245244153641097,0.020918508971944087,0.019950859149332433,0.015059216573499916,0.011580757075463938,0.007019034634896366,0.026717557251908396,0.04885496183206107,0.06793893129770992,0.08473282442748091,0.11450381679389313,0.1534351145038168,0.026717557251908396,0.0316498174564838,0.03614164378484696,0.040161486114269646,0.04596623058637895,0.05229913829533181,0.04632068195903534,0.03355634890206619,0.1435114503816794,0.188295165394402,0.21083969465648855,0.23190839694656484,0.2539312977099236,0.2861374045801527,0.5781882282376118,0.5731559999730962,0.6913590498015765,0.7843433001562518
e5,intfloat/e5-base-v2,IVFPQ_nlist64_nprobe16,IVF-PQ,768,,,,64.0,16.0,48.0,8.0,12.090454093999597,9.114651146999677,2.97580294699992,0.026717557251908396,0.017048346055979643,0.01419847328244275,0.009770992366412214,0.007061068702290076,0.0041068702290076335,0.020578880407124682,0.03511904761904762,0.04461953229128801,0.05729571580676015,0.08172410548324142,0.11283680247043325,0.022118017690536774,0.021554641287465714,0.020178049262018726,0.015804781441202186,0.012559841935730344,0.007771686488084251,0.026717557251908396,0.050381679389312976,0.06870229007633588,0.08854961832061069,0.12366412213740458,0.166412213740458,0.026717557251908396,0.032216981075179854,0.03652774044723058,0.041265857102735594,0.048281799375628744,0.05561733716184674,0.04762306700650764,0.03463458925415557,0.1480916030534351,0.19491094147582697,0.21740458015267178,0.24,0.2658015267175573,0.30044274809160304,1.0214905374124024,1.0101650000251539,1.203178049786402,1.330388120004501
bge,BAAI/bge-base-en-v1.5,IVF_nlist512_nprobe32,IVF-Flat,768,,,,512.0,32.0,,,3.4289282059999096,3.057235736999928,0.37169246899998143,0.06641221374045801,0.043256997455470736,0.031450381679389315,0.021145038167938935,0.01370229007633588,0.007282442748091603,0.03927912131773829,0.07340704811414521,0.08709421972116414,0.11420135982448744,0.14244437634994672,0.17992686205762326,0.04543132016414459,0.04907772175148632,0.04205828859061909,0.03303207174830769,0.023719607840596037,0.01360645268202971,0.06641221374045801,0.11755725190839694,0.14045801526717558,0.17786259541984734,0.216793893129771,0.2687022900763359,0.06641221374045801,0.07172485184610113,0.07573475143673228,0.08471392969681546,0.09312014668638831,0.10226498872822114,0.10353987358851122,0.06750462711434248,0.8969465648854962,0.8893129770992366,0.8819847328244276,0.8647328244274809,0.8505725190839695,0.8189007633587786,1.3163465923675286,1.2943699998686498,1.7052506500817795,1.8708535699602187
e5,intfloat/e5-base-v2,FlatIP,FlatIP,768,,,,,,,,0.21189613999990797,,,0.07099236641221374,0.04452926208651399,0.03587786259541985,0.024122137404580152,0.015381679389312976,0.00833587786259542,0.04483490851811462,0.08061348457958248,0.10586551414458914,0.13662054261908327,0.16574810906456897,0.21543944827553332,0.05141315003910423,0.05297787030611458,0.04974713581583811,0.03864093799968384,0.026903676437980143,0.01565069559654556,0.07099236641221374,0.12137404580152672,0.15725190839694655,0.19770992366412213,0.23893129770992366,0.3061068702290076,0.07099236641221374,0.07652769919689519,0.08660767822677953,0.09753634631279208,0.10643850714713629,0.11844432229136584,0.11090410706646082,0.07847543089213381,,,,,,,21.60103089388937,21.336008500043135,22.975893899945277,26.651362779869032
bge,BAAI/bge-base-en-v1.5,IVF_nlist256_nprobe4,IVF-Flat,768,,,,256.0,4.0,,,1.6909005310003522,1.4442827090001629,0.24661782200018934,0.05114503816793893,0.03282442748091603,0.023816793893129774,0.016259541984732825,0.010305343511450382,0.0053435114503816794,0.030713751149314687,0.05564317075430682,0.06499552747307574,0.08674489134076022,0.1035511385286868,0.12828043277133983,0.03570464734586872,0.037559251605053134,0.031878566367269316,0.02549806490731786,0.017790202743991308,0.009980073559710836,0.05114503816793893,0.09083969465648854,0.1083969465648855,0.1366412213740458,0.16717557251908396,0.20687022900763358,0.05114503816793893,0.05489425925099903,0.0575882837043398,0.06508483883304285,0.0703158543439224,0.07644328529227408,0.07999490990940744,0.05121467605749,0.6755725190839694,0.6475826972010178,0.6287022900763358,0.5992366412213741,0.5780152671755725,0.5315114503816794,0.3447652435081792,0.3289889999678053,0.5288672999085975,0.6326347599133446
bge,BAAI/bge-base-en-v1.5,FlatIP,FlatIP,768,,,,,,,,0.2070179330000883,,,0.07251908396946564,0.04936386768447836,0.03633587786259542,0.02480916030534351,0.016106870229007635,0.008748091603053437,0.04328675490552455,0.08338293205322841,0.09974461957576247,0.13180233709149525,0.16732545826010362,0.21828091079625003,0.04989878654000791,0.056582871394040536,0.04870305753219988,0.03875018092134745,0.027903896729830166,0.016369934554437075,0.07251908396946564,0.13206106870229006,0.15801526717557252,0.20229007633587787,0.24961832061068703,0.31679389312977096,0.07251908396946564,0.0801196718069209,0.08542458451771723,0.09648638990739859,0.10686702641096,0.11921913901265764,0.11559987662516404,0.07726999399498836,,,,,,,21.29928230610476,20.91489750000619,22.918517950029127,29.908507089908206
bge,BAAI/bge-base-en-v1.5,IVF_nlist64_nprobe32,IVF-Flat,768,,,,64.0,32.0,,,0.4047558309998749,0.21640804200001185,0.18834778899986304,0.07251908396946564,0.049109414758269715,0.03587786259541985,0.024198473282442748,0.015916030534351148,0.008519083969465649,0.04328675490552455,0.08351015851633274,0.0983451284816149,0.12715857118818738,0.16252844229896551,0.2109800193478708,0.04989878654000791,0.05640475434569449,0.048039662403155894,0.037702500866033814,0.027485008333307217,0.015947403574368413,0.07251908396946564,0.13129770992366413,0.15572519083969466,0.19618320610687023,0.24580152671755726,0.30916030534351147,0.07251908396946564,0.08008821153257425,0.08480250927049343,0.09481061846975955,0.10522082179517694,0.11684567581320875,0.1145735839506259,0.07637642068638621,0.9847328244274809,0.9857506361323156,0.9845801526717557,0.9815267175572518,0.9770229007633588,0.9703664122137403,11.105343253436455,11.087388999953873,13.182732399957331,13.688358210024491
e5,intfloat/e5-base-v2,IVF_nlist512_nprobe32,IVF-Flat,768,,,,512.0,32.0,,,3.2794744940003966,2.9403358330002902,0.33913866100010637,0.05419847328244275,0.03358778625954199,0.026564885496183206,0.017480916030534352,0.011030534351145038,0.005969465648854962,0.03492820792439113,0.06231165494187497,0.07939986890658432,0.10098137027438824,0.12299483390998925,0.15601176292555105,0.039824636771201655,0.04038184461848584,0.036727462528989244,0.027947528882176435,0.019404108961257046,0.011209922316590454,0.05419847328244275,0.09312977099236641,0.12290076335877863,0.1534351145038168,0.183206106870229,0.23206106870229007,0.05419847328244275,0.05905750694668099,0.06591896808682994,0.07351668807399434,0.08006719008509441,0.08815241959479737,0.08571033368191307,0.05899671613251555,0.7938931297709924,0.789821882951654,0.776793893129771,0.7627480916030535,0.7512595419847329,0.7250381679389313,1.2479484473340368,1.2294195000777108,1.5568051998343435,1.7470388899755562
